incident_id,No,Type,Status,Age Group,Gender
448149,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Female
448233,0,Victim,Injured,Adult 18+,Male
448912,0,Victim,Killed,Adult 18+,Male
450366,0,Victim,Killed,Adult 18+,Female
450366,1,Subject-Suspect,Unharmed,Adult 18+,Male
449626,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449626,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449626,2,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449626,3,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
448600,0,Victim,Injured,Adult 18+,Male
449875,0,Victim,Injured,Adult 18+,Female
449875,1,Subject-Suspect,"Unharmed, Arrested",Teen 12-17,Male
449875,2,Subject-Suspect,"Unharmed, Arrested",Teen 12-17,Male
449875,3,Subject-Suspect,"Unharmed, Arrested",Teen 12-17,Male
449880,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
450330,0,Victim,Killed,Adult 18+,Male
450330,1,Subject-Suspect,Unharmed,,
449621,0,Victim,Injured,Adult 18+,Male
449621,1,Victim,Injured,Adult 18+,Male
449621,2,Subject-Suspect,Unharmed,,
449621,3,Subject-Suspect,Unharmed,,
448931,0,Subject-Suspect,Unharmed,Adult 18+,Male
449662,0,Victim,Killed,Adult 18+,Female
449662,1,Victim,Killed,Adult 18+,Male
449662,2,Subject-Suspect,Arrested,Adult 18+,Male
449318,0,Victim,Injured,Adult 18+,Male
449318,1,Subject-Suspect,Unharmed,Adult 18+,Male
450616,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
450645,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
448939,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
448947,0,Victim,Killed,Child 0-11,Male
448947,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Female
448947,2,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449325,0,Subject-Suspect,Killed,Adult 18+,Male
449687,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449809,0,Victim,Injured,Teen 12-17,Male
449809,1,Victim,Injured,Adult 18+,Male
451242,0,Victim,Killed,Adult 18+,Male
451242,1,Victim,Injured,Adult 18+,Male
449042,0,Victim,Injured,Adult 18+,Male
449042,1,Victim,Injured,,
449042,2,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449094,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449830,0,Victim,Killed,Adult 18+,Male
449830,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449513,0,Victim,Killed,Adult 18+,Male
449513,1,Victim,Killed,Adult 18+,Male
449839,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
448569,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
