incident_id,No,Type,Status,Age Group,Gender
461105,0,Victim,Arrested,Adult 18+,Male
461105,1,Victim,Injured,Adult 18+,Male
461105,2,Victim,Injured,Adult 18+,
461105,3,Victim,Injured,Adult 18+,Male
461105,4,Subject-Suspect,Injured,Adult 18+,Female
460726,0,Victim,Killed,Adult 18+,Male
460726,1,Victim,Injured,Adult 18+,
460726,2,Victim,Injured,Adult 18+,
460726,3,Victim,Injured,Adult 18+,
460726,4,Subject-Suspect,,,
478855,0,Subject-Suspect,"Injured, Unharmed, Arrested",Adult 18+,Male
478855,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
478855,2,Victim,Killed,Adult 18+,Male
478855,3,Victim,Injured,Adult 18+,Male
478855,4,Victim,Injured,Adult 18+,Male
478925,0,Victim,Killed,Adult 18+,Female
478925,1,Victim,Killed,Adult 18+,Male
478925,2,Victim,Killed,Adult 18+,Male
478925,3,Subject-Suspect,Killed,Adult 18+,Male
478959,0,Victim,Injured,Adult 18+,Female
478959,1,Victim,Injured,Adult 18+,Male
478959,2,Victim,Killed,Teen 12-17,Male
478959,3,Subject-Suspect,Killed,Adult 18+,Female
478948,0,Victim,Killed,Adult 18+,Female
478948,1,Victim,Killed,Adult 18+,Female
478948,2,Victim,Killed,Adult 18+,Female
478948,3,Victim,Killed,Adult 18+,Female
478948,4,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
478948,5,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
479363,0,Victim,Killed,Adult 18+,Male
479363,1,Victim,Killed,Adult 18+,Female
479363,2,Victim,Killed,Child 0-11,Male
479363,3,Victim,Killed,Child 0-11,Female
479363,4,Victim,Killed,Child 0-11,Female
479363,5,Subject-Suspect,"Unharmed, Arrested",Teen 12-17,Male
479389,0,Victim,Injured,Teen 12-17,Male
479389,1,Victim,Injured,Teen 12-17,Male
479389,2,Victim,Injured,Teen 12-17,Male
479389,3,Victim,Injured,,Male
479389,4,Subject-Suspect,Unharmed,Adult 18+,Male
492151,0,Victim,Killed,Teen 12-17,Male
492151,1,Victim,Injured,Adult 18+,
492151,2,Victim,Injured,Adult 18+,
492151,3,Victim,Injured,Adult 18+,
492151,4,Victim,Injured,Adult 18+,
492151,5,Victim,Injured,Adult 18+,
492151,6,Victim,Injured,Adult 18+,
491674,0,Victim,Killed,Adult 18+,Male
491674,1,Victim,Injured,,Male
491674,2,Victim,Injured,,Male
491674,3,Victim,Injured,,Male
491674,4,Subject-Suspect,,,
479413,0,Victim,Killed,Adult 18+,Male
479413,1,Victim,Injured,,
479413,2,Victim,Injured,,
479413,3,Victim,Injured,,
479413,4,Subject-Suspect,,,
479561,0,Victim,Killed,Adult 18+,Male
479561,1,Victim,Injured,Adult 18+,Male
479561,2,Victim,Injured,Adult 18+,Male
479561,3,Victim,Killed,Adult 18+,Male
479561,4,Subject-Suspect,"Injured, Arrested",Adult 18+,Male
479554,0,Victim,Injured,Adult 18+,Female
479554,1,Victim,Injured,Adult 18+,Female
479554,2,Victim,Injured,Adult 18+,Male
479554,3,Victim,Injured,Adult 18+,Male
479554,4,Victim,Injured,Adult 18+,Male
479554,5,Subject-Suspect,Unharmed,Adult 18+,Male
479460,0,Victim,Killed,Adult 18+,Male
479460,1,Victim,Injured,Adult 18+,Male
479460,2,Victim,Injured,Adult 18+,Male
479460,3,Victim,Injured,Adult 18+,Male
479460,4,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
479573,0,Victim,Injured,Adult 18+,Female
479573,1,Victim,Injured,Adult 18+,Female
479573,2,Victim,Injured,Adult 18+,Female
479573,3,Victim,Injured,,Female
479573,4,Victim,Injured,Adult 18+,Female
479573,5,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Female
479580,0,Victim,Killed,Adult 18+,Male
479580,1,Victim,Injured,Adult 18+,Male
479580,2,Victim,Injured,Adult 18+,Female
479580,3,Victim,Injured,Adult 18+,
479580,4,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
479580,5,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
479580,6,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
479592,0,Victim,Injured,Adult 18+,Male
479592,1,Victim,Injured,Adult 18+,Male
479592,2,Victim,Injured,Adult 18+,Male
479592,3,Victim,Injured,Adult 18+,Male
479592,4,Subject-Suspect,Unharmed,Adult 18+,
479592,5,Subject-Suspect,Unharmed,Adult 18+,
479603,0,Victim,Injured,Adult 18+,Male
479603,1,Victim,Injured,Adult 18+,Female
479603,2,Victim,Injured,Adult 18+,Female
479603,3,Victim,Injured,Adult 18+,Male
479603,4,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
479603,5,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
479603,6,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
480311,0,Victim,Killed,Adult 18+,Male
480311,1,Victim,Injured,Adult 18+,Male
480311,2,Victim,Injured,Adult 18+,Male
480311,3,Victim,Injured,Adult 18+,Female
480311,4,Victim,Injured,Adult 18+,Female
480327,0,Victim,Killed,Adult 18+,Female
480327,1,Victim,Killed,Adult 18+,Female
480327,2,Victim,Injured,Adult 18+,Male
480327,3,Victim,Injured,Adult 18+,Male
480327,4,Subject-Suspect,Killed,Adult 18+,Male
480344,0,Victim,Killed,Adult 18+,Male
480344,1,Victim,Killed,Adult 18+,Male
480344,2,Victim,Killed,Adult 18+,Male
480344,3,Victim,Injured,Adult 18+,Female
480344,4,Subject-Suspect,"Killed, Unharmed, Arrested",Adult 18+,Male
480344,5,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
480358,0,Victim,Killed,Adult 18+,Female
480358,1,Victim,Injured,Adult 18+,
480358,2,Victim,Injured,Adult 18+,
480358,3,Victim,Injured,Adult 18+,
480358,4,Victim,Killed,Adult 18+,Male
480358,5,Victim,Killed,Adult 18+,Male
480358,6,Subject-Suspect,Killed,Adult 18+,Male
480383,0,Victim,Killed,Adult 18+,Male
480383,1,Victim,Injured,Adult 18+,Male
480383,2,Victim,Injured,Adult 18+,Male
480383,3,Victim,Injured,Adult 18+,Female
480383,4,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
480401,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
480401,1,Victim,Injured,Adult 18+,Male
480401,2,Victim,Injured,,Male
480401,3,Victim,Injured,,Male
480401,4,Victim,Injured,,Female
480407,0,Victim,Injured,Adult 18+,Male
480407,1,Victim,Injured,Adult 18+,Male
480407,2,Victim,Injured,Adult 18+,Male
480407,3,Victim,Injured,Adult 18+,Male
480407,4,Subject-Suspect,Unharmed,,
480407,5,Subject-Suspect,Unharmed,,
480443,0,Victim,Injured,Adult 18+,Male
480443,1,Victim,Injured,,Male
480443,2,Victim,Injured,Adult 18+,Male
480443,3,Victim,Injured,Adult 18+,Male
480443,4,Victim,Injured,Adult 18+,Male
480443,5,Victim,Injured,Adult 18+,Male
480443,6,Victim,Injured,Adult 18+,Female
480443,7,Victim,Injured,Adult 18+,Female
480443,8,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
481186,0,Victim,Killed,Adult 18+,Male
481186,1,Victim,Injured,Adult 18+,Male
481186,2,Victim,Injured,Adult 18+,Male
481186,3,Victim,Injured,Adult 18+,Male
481186,4,Subject-Suspect,"Unharmed, Arrested",Teen 12-17,Male
481186,5,Subject-Suspect,"Unharmed, Arrested",Teen 12-17,Male
481198,0,Victim,Killed,Adult 18+,Male
481198,1,Victim,Killed,Adult 18+,Male
481198,2,Victim,Injured,Adult 18+,Female
481198,3,Victim,Injured,Adult 18+,Male
481198,4,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
481198,5,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
481208,0,Victim,Injured,Adult 18+,Male
481208,1,Victim,Injured,Adult 18+,Male
481208,2,Victim,Injured,Teen 12-17,Female
481208,3,Victim,Injured,Adult 18+,Female
481213,0,Victim,Injured,Adult 18+,
481213,1,Victim,Injured,Adult 18+,
481213,2,Victim,Injured,Adult 18+,
481213,3,Victim,Killed,Adult 18+,Male
481213,4,Subject-Suspect,"Unharmed, Arrested",Teen 12-17,Male
481213,5,Subject-Suspect,"Unharmed, Arrested",Teen 12-17,Male
481220,0,Victim,Injured,Adult 18+,Male
481220,1,Victim,Injured,Adult 18+,Male
481220,2,Victim,Injured,Adult 18+,Male
481220,3,Victim,Killed,Adult 18+,Male
481220,4,Subject-Suspect,,,
481229,0,Victim,Killed,Adult 18+,Male
481229,1,Victim,Killed,Adult 18+,Female
481229,2,Victim,Injured,Adult 18+,Male
481229,3,Victim,Injured,Adult 18+,Male
481229,4,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
481237,0,Victim,Injured,Adult 18+,Female
481237,1,Victim,Injured,Adult 18+,Male
481237,2,Victim,Injured,Teen 12-17,Male
481237,3,Victim,Injured,Adult 18+,
481237,4,Victim,Injured,Teen 12-17,
481237,5,Subject-Suspect,,,
482771,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
482771,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
482771,2,Subject-Suspect,Injured,Teen 12-17,Male
482771,3,Subject-Suspect,Injured,Adult 18+,Male
482771,4,Victim,Injured,Adult 18+,Male
482771,5,Victim,Injured,Adult 18+,Male
482771,6,Victim,Injured,Adult 18+,Male
482771,7,Victim,Injured,Adult 18+,Male
482771,8,Victim,Injured,Adult 18+,Male
482771,9,Victim,Injured,Adult 18+,Female
