incident_id,No,Type,Status,Age Group,Gender
451693,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
259817,0,Victim,Killed,Adult 18+,Male
248888,0,Victim,Killed,Adult 18+,Male
248888,1,Subject-Suspect,Unharmed,Adult 18+,Male
249067,0,Victim,Killed,Adult 18+,Female
249067,1,Subject-Suspect,Killed,Adult 18+,Male
227403,0,Victim,Injured,Adult 18+,Male
227403,1,Subject-Suspect,Unharmed,Adult 18+,Male
259768,0,Victim,Injured,Adult 18+,Male
227411,0,Victim,Injured,Adult 18+,Male
227426,0,Subject-Suspect,Unharmed,Adult 18+,Male
227426,1,Subject-Suspect,Unharmed,Adult 18+,
227432,0,Victim,Killed,Adult 18+,Male
227465,0,Victim,Injured,Adult 18+,Male
227483,0,Victim,Injured,Adult 18+,Male
227483,1,Subject-Suspect,,,
227483,2,Subject-Suspect,,,
249024,0,Victim,Unharmed,Adult 18+,Female
249024,1,Victim,Unharmed,Adult 18+,Male
249024,2,Subject-Suspect,Unharmed,Adult 18+,Male
249024,3,Subject-Suspect,Unharmed,Adult 18+,Male
249018,0,Victim,Killed,Adult 18+,Male
248917,0,Subject-Suspect,Unharmed,Adult 18+,Male
260688,0,Subject-Suspect,Arrested,Adult 18+,Male
260688,1,Subject-Suspect,Arrested,Adult 18+,Male
259711,0,Victim,Killed,Adult 18+,Male
259711,1,Subject-Suspect,Injured,Adult 18+,Male
262485,0,Victim,Unharmed,,Male
262485,1,Subject-Suspect,"Unharmed, Arrested",Teen 12-17,Male
259731,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
259731,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Female
259731,2,Subject-Suspect,Unharmed,Adult 18+,Female
259731,3,Subject-Suspect,"Unharmed, Arrested",,
227347,0,Victim,Unharmed,Adult 18+,Male
227347,1,Subject-Suspect,Killed,Adult 18+,Female
227347,2,Victim,Unharmed,Adult 18+,Male
248951,0,Victim,"Injured, Arrested",Adult 18+,Male
248935,0,Victim,Injured,,Male
248935,1,Victim,Injured,,Male
248935,2,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
248935,3,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
248935,4,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
227444,0,Victim,Killed,Adult 18+,Male
227444,1,Subject-Suspect,Unharmed,Adult 18+,Male
248929,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
260664,0,Victim,Injured,Adult 18+,Male
249057,0,Victim,Injured,Adult 18+,Female
259772,0,Victim,Injured,Adult 18+,Female
249047,0,Victim,Injured,Child 0-11,Female
263708,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
259568,0,Victim,Killed,Adult 18+,Male
260137,0,Victim,Killed,Teen 12-17,Male
249063,0,Victim,Injured,Adult 18+,Male
249063,1,Victim,Injured,Adult 18+,Male
249063,2,Subject-Suspect,"Unharmed, Arrested",Teen 12-17,Male
426704,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
